variant_seed,p_delete,p_add,n_admissible_edges,min_risky_probability_under_resistance,pass_all,H1_risky_mass_drop,H2_nonzero_risky_support,H3_rollout_shift_without_exclusion,H4_benign_help_retained
1000,0.12,0.06,44,0.003299816732265689,False,True,True,False,True
1001,0.12,0.06,41,0.003299816732265689,True,True,True,True,True
1002,0.12,0.06,46,0.0032975992782787755,True,True,True,True,True
1003,0.12,0.06,44,0.003299816732265689,False,True,True,False,True
1004,0.12,0.06,43,0.0035640782933312382,True,True,True,True,True
1005,0.12,0.06,45,0.0032975992782787755,False,True,True,False,True
1006,0.12,0.06,44,0.0035666687535655314,False,True,True,False,True
1007,0.12,0.06,42,0.003299816732265689,True,True,True,True,True
1008,0.12,0.06,43,0.003299816732265689,True,True,True,True,True
1009,0.12,0.06,41,0.0037089241094622845,True,True,True,True,True
1010,0.12,0.06,42,0.0035666687535655314,True,True,True,True,True
1011,0.12,0.06,44,0.003299816732265689,False,True,True,False,True
1012,0.12,0.06,44,0.003299816732265689,False,True,True,False,True
1013,0.12,0.06,42,0.0037089241094622845,False,True,True,False,True
