seed,condition,context_class,helpful_rate,safe_rate,risky_rate,boundary_rate,mean_steps,safe_or_boundary_rate
0,baseline,ambiguous,0.065,0.44,0.3,0.0,4.815,0.44
0,baseline,benign,0.225,0.45,0.1,0.0,4.9575,0.45
0,baseline,boundary,0.0,0.4,0.295,0.205,4.13,0.605
0,baseline,risky,0.065,0.42,0.26,0.0825,4.845,0.5025
0,exclusion,ambiguous,0.075,0.675,0.0,0.0,4.985,0.675
0,exclusion,benign,0.235,0.5125,0.0,0.0,5.065,0.5125
0,exclusion,boundary,0.0,0.51,0.0,0.265,4.695,0.775
0,exclusion,risky,0.1,0.5325,0.0,0.115,5.005,0.6475
0,resistance,ambiguous,0.04,0.66,0.01,0.0,5.23,0.66
0,resistance,benign,0.2125,0.48,0.0,0.0,5.2275,0.48
0,resistance,boundary,0.0,0.4,0.0,0.415,4.465,0.815
0,resistance,risky,0.0625,0.5375,0.0,0.1225,5.13,0.6599999999999999
1,baseline,ambiguous,0.11,0.375,0.315,0.0,4.81,0.375
1,baseline,benign,0.24,0.445,0.1125,0.0,4.9875,0.445
1,baseline,boundary,0.0,0.335,0.26,0.3,3.975,0.635
1,baseline,risky,0.085,0.46,0.2325,0.0725,4.68,0.5325
1,exclusion,ambiguous,0.115,0.59,0.0,0.0,5.315,0.59
1,exclusion,benign,0.2375,0.5,0.0,0.0,4.9725,0.5
1,exclusion,boundary,0.0,0.55,0.0,0.285,4.41,0.835
1,exclusion,risky,0.09,0.535,0.0,0.075,5.2875,0.61
1,resistance,ambiguous,0.06,0.645,0.005,0.0,5.155,0.645
1,resistance,benign,0.18,0.565,0.0025,0.0,5.035,0.565
1,resistance,boundary,0.0,0.425,0.005,0.345,4.68,0.77
1,resistance,risky,0.05,0.515,0.0075,0.0975,5.355,0.6125
2,baseline,ambiguous,0.1,0.445,0.31,0.0,4.295,0.445
2,baseline,benign,0.2475,0.44,0.09,0.0,4.9225,0.44
2,baseline,boundary,0.0,0.33,0.325,0.25,4.09,0.5800000000000001
2,baseline,risky,0.095,0.3875,0.25,0.0975,4.645,0.485
2,exclusion,ambiguous,0.07,0.655,0.0,0.0,5.35,0.655
2,exclusion,benign,0.21,0.5325,0.0,0.0,5.105,0.5325
2,exclusion,boundary,0.0,0.5,0.0,0.3,4.615,0.8
2,exclusion,risky,0.0775,0.59,0.0,0.0975,5.0375,0.6875
2,resistance,ambiguous,0.07,0.59,0.005,0.0,5.575,0.59
2,resistance,benign,0.205,0.495,0.0,0.0,5.3475,0.495
2,resistance,boundary,0.0,0.43,0.005,0.315,4.775,0.745
2,resistance,risky,0.0475,0.51,0.0125,0.115,5.4375,0.625
3,baseline,ambiguous,0.115,0.39,0.3,0.0,4.68,0.39
3,baseline,benign,0.2325,0.3975,0.13,0.0,5.115,0.3975
3,baseline,boundary,0.0,0.415,0.3,0.18,4.11,0.595
3,baseline,risky,0.0875,0.445,0.22,0.085,4.7875,0.53
3,exclusion,ambiguous,0.11,0.56,0.0,0.0,5.235,0.56
3,exclusion,benign,0.2075,0.5275,0.0,0.0,5.195,0.5275
3,exclusion,boundary,0.0,0.46,0.0,0.34,4.525,0.8
3,exclusion,risky,0.095,0.53,0.0,0.08,5.12,0.61
3,resistance,ambiguous,0.05,0.67,0.0,0.0,5.18,0.67
3,resistance,benign,0.2075,0.4975,0.0025,0.0,5.265,0.4975
3,resistance,boundary,0.0,0.435,0.0,0.39,4.4,0.825
3,resistance,risky,0.0625,0.5325,0.0025,0.105,5.2975,0.6375
4,baseline,ambiguous,0.08,0.465,0.3,0.0,4.54,0.465
4,baseline,benign,0.215,0.47,0.11,0.0,5.0225,0.47
4,baseline,boundary,0.0,0.37,0.31,0.21,4.135,0.58
4,baseline,risky,0.0925,0.4025,0.2575,0.0725,4.7375,0.47500000000000003
4,exclusion,ambiguous,0.095,0.575,0.0,0.0,5.31,0.575
4,exclusion,benign,0.2275,0.5125,0.0,0.0,5.11,0.5125
4,exclusion,boundary,0.0,0.52,0.0,0.28,4.51,0.8
4,exclusion,risky,0.0725,0.5375,0.0,0.1175,5.135,0.655
4,resistance,ambiguous,0.05,0.665,0.01,0.0,5.23,0.665
4,resistance,benign,0.195,0.46,0.0,0.0,5.46,0.46
4,resistance,boundary,0.0,0.46,0.02,0.345,4.4,0.8049999999999999
4,resistance,risky,0.0525,0.5225,0.0025,0.1225,5.325,0.645
