task,left,right,kl_divergence,tv_distance
benign_simple,resistance,baseline,0.0016421506115250064,0.024557180194857166
benign_simple,resistance,exclusion,0.0016421506115250064,0.024557180194857166
benign_complex,resistance,baseline,0.003199772132422329,0.034932919771794226
benign_complex,resistance,exclusion,0.003199772132422329,0.034932919771794226
ambiguous,resistance,baseline,0.07189333376603847,0.10924747318182407
ambiguous,resistance,exclusion,0.03412173781438572,0.06958907121697103
risky_direct,resistance,baseline,0.1873833372807528,0.20541978927730942
risky_direct,resistance,exclusion,0.09089559163109798,0.09851295238203923
risky_reframed,resistance,baseline,0.19099694587858213,0.20707938176341842
risky_reframed,resistance,exclusion,0.0948498369550187,0.09436576240810032
boundary_reframe,resistance,baseline,0.23008028525129545,0.23284538142726444
boundary_reframe,resistance,exclusion,0.11696635845158403,0.09885481033026491
