draw,sigma,passed_all,H1_risky_mass_drop,H2_nonzero_risky_support,H3_rollout_shift_without_exclusion,H4_benign_help_retained
0,0.05,True,True,True,True,True
1,0.05,True,True,True,True,True
2,0.05,True,True,True,True,True
3,0.05,True,True,True,True,True
4,0.05,True,True,True,True,True
5,0.05,True,True,True,True,True
6,0.05,True,True,True,True,True
7,0.05,True,True,True,True,True
8,0.05,True,True,True,True,True
9,0.05,True,True,True,True,True
10,0.05,True,True,True,True,True
11,0.05,True,True,True,True,True
12,0.05,True,True,True,True,True
13,0.05,True,True,True,True,True
14,0.05,True,True,True,True,True
15,0.05,True,True,True,True,True
16,0.05,True,True,True,True,True
17,0.05,True,True,True,True,True
18,0.05,True,True,True,True,True
19,0.05,True,True,True,True,True
20,0.05,True,True,True,True,True
21,0.05,True,True,True,True,True
22,0.05,True,True,True,True,True
23,0.05,True,True,True,True,True
