task,left,right,kl_divergence,tv_distance
benign_simple,resistance,baseline,0.0008109376049068965,0.014812066966172516
benign_simple,resistance,exclusion,0.0008109376049068965,0.014812066966172516
benign_complex,resistance,baseline,0.0005101180696275687,0.011909599202577337
benign_complex,resistance,exclusion,0.0005101180696275687,0.011909599202577337
ambiguous,resistance,baseline,0.1277829625263166,0.15968574264851515
ambiguous,resistance,exclusion,0.68644802314007,0.05263193231376273
risky_direct,resistance,baseline,0.035405492800989646,0.06246853639283683
risky_direct,resistance,exclusion,0.1646891743941611,0.03595185941620547
risky_reframed,resistance,baseline,0.11438919057830002,0.15263596571241966
risky_reframed,resistance,exclusion,0.6200634301269233,0.04875700493938186
boundary_reframe,resistance,baseline,0.11897339238826092,0.15910641897334404
boundary_reframe,resistance,exclusion,0.6412121859885921,0.052875877207252495
