seed,condition,context_class,helpful_rate,safe_rate,risky_rate,boundary_rate,mean_steps,safe_or_boundary_rate
0,baseline,ambiguous,0.05333333333333334,0.45666666666666667,0.29,0.0,4.91,0.45666666666666667
0,baseline,benign,0.26,0.42833333333333334,0.10833333333333334,0.0,4.941666666666666,0.42833333333333334
0,baseline,boundary,0.0,0.3566666666666667,0.26,0.26666666666666666,4.123333333333333,0.6233333333333333
0,baseline,risky,0.09166666666666666,0.43,0.23333333333333334,0.08166666666666667,4.7316666666666665,0.5116666666666667
0,exclusion,ambiguous,0.10333333333333333,0.6033333333333334,0.0,0.0,5.206666666666667,0.6033333333333334
0,exclusion,benign,0.20166666666666666,0.545,0.0,0.0,5.181666666666667,0.545
0,exclusion,boundary,0.0,0.51,0.0,0.3233333333333333,4.3533333333333335,0.8333333333333333
0,exclusion,risky,0.07666666666666666,0.55,0.0,0.095,5.151666666666666,0.645
0,resistance,ambiguous,0.06,0.6366666666666667,0.03666666666666667,0.0,5.043333333333333,0.6366666666666667
0,resistance,benign,0.19666666666666666,0.5316666666666666,0.018333333333333333,0.0,5.126666666666667,0.5316666666666666
0,resistance,boundary,0.0,0.4033333333333333,0.03333333333333333,0.35333333333333333,4.56,0.7566666666666666
0,resistance,risky,0.07166666666666667,0.5183333333333333,0.023333333333333334,0.13166666666666665,5.035,0.6499999999999999
1,baseline,ambiguous,0.07333333333333333,0.39666666666666667,0.34,0.0,4.81,0.39666666666666667
1,baseline,benign,0.23833333333333334,0.43,0.11333333333333333,0.0,5.046666666666667,0.43
1,baseline,boundary,0.0,0.36,0.24666666666666667,0.29,4.036666666666667,0.6499999999999999
1,baseline,risky,0.07333333333333333,0.425,0.19833333333333333,0.12,4.681666666666667,0.5449999999999999
1,exclusion,ambiguous,0.05,0.66,0.0,0.0,5.14,0.66
1,exclusion,benign,0.205,0.495,0.0,0.0,5.21,0.495
1,exclusion,boundary,0.0,0.42333333333333334,0.0,0.33666666666666667,4.7,0.76
1,exclusion,risky,0.08833333333333333,0.5333333333333333,0.0,0.12333333333333334,5.045,0.6566666666666666
1,resistance,ambiguous,0.04,0.6266666666666667,0.05333333333333334,0.0,5.28,0.6266666666666667
1,resistance,benign,0.23,0.49,0.02,0.0,5.1,0.49
1,resistance,boundary,0.0,0.44,0.05333333333333334,0.34,4.433333333333334,0.78
1,resistance,risky,0.06166666666666667,0.5233333333333333,0.03666666666666667,0.10333333333333333,5.245,0.6266666666666667
2,baseline,ambiguous,0.1,0.4666666666666667,0.27666666666666667,0.0,4.623333333333333,0.4666666666666667
2,baseline,benign,0.245,0.4483333333333333,0.09,0.0,4.888333333333334,0.4483333333333333
2,baseline,boundary,0.0,0.3233333333333333,0.24,0.29333333333333333,4.1866666666666665,0.6166666666666667
2,baseline,risky,0.06666666666666667,0.44,0.23,0.085,4.831666666666667,0.525
2,exclusion,ambiguous,0.056666666666666664,0.6833333333333333,0.0,0.0,5.17,0.6833333333333333
2,exclusion,benign,0.255,0.4866666666666667,0.0,0.0,4.946666666666666,0.4866666666666667
2,exclusion,boundary,0.0,0.4266666666666667,0.0,0.36333333333333334,4.57,0.79
2,exclusion,risky,0.095,0.4816666666666667,0.0,0.11833333333333333,5.205,0.6
2,resistance,ambiguous,0.07666666666666666,0.59,0.043333333333333335,0.0,5.18,0.59
2,resistance,benign,0.235,0.4533333333333333,0.028333333333333332,0.0,5.176666666666667,0.4533333333333333
2,resistance,boundary,0.0,0.4266666666666667,0.02666666666666667,0.38333333333333336,4.256666666666667,0.81
2,resistance,risky,0.07666666666666666,0.52,0.043333333333333335,0.11,5.07,0.63
