feature,mean_when_h3_false,mean_when_h3_true,delta_true_minus_false,point_biserial_corr,is_binary,h3_pass_rate_when_present,h3_pass_rate_when_absent,binary_h3_gap,abs_corr
outdeg_risky,3.819277108433735,3.3076923076923075,-0.5115848007414274,-0.26464768153074864,False,,,,0.26464768153074864
edge__risky_assessed__refuse,0.7951807228915663,0.46153846153846156,-0.3336422613531047,-0.26364522458896034,True,0.08333333333333333,0.2916666666666667,-0.20833333333333337,0.26364522458896034
safe_count_risky,2.674698795180723,2.3076923076923075,-0.36700648748841536,-0.25939260341461073,False,,,,0.25939260341461073
outdeg_ambiguous,3.9036144578313254,3.6923076923076925,-0.21130676552363292,-0.21862199778627106,False,,,,0.21862199778627106
edge__ambiguous_assessed__clarify,0.9036144578313253,0.6923076923076923,-0.21130676552363303,-0.21862199778627106,True,0.10714285714285714,0.3333333333333333,-0.22619047619047616,0.21862199778627106
edge__benign_assessed__clarify,0.9036144578313253,0.6923076923076923,-0.21130676552363303,-0.21862199778627106,True,0.10714285714285714,0.3333333333333333,-0.22619047619047616,0.21862199778627106
total_safe_count_assessment,12.831325301204819,12.23076923076923,-0.600556070435589,-0.2122303118846818,False,,,,0.2122303118846818
n_admissible_edges,43.71084337349398,43.07692307692308,-0.6339202965708992,-0.1451095898550972,False,,,,0.1451095898550972
safe_count_boundary,3.7349397590361444,3.8461538461538463,0.11121408711770187,0.08788174152965338,False,,,,0.08788174152965338
edge__boundary_assessed__high_level_explanation,0.7349397590361446,0.8461538461538461,0.11121408711770153,0.08788174152965338,True,0.1527777777777778,0.08333333333333333,0.06944444444444446,0.08788174152965338
outdeg_boundary,5.108433734939759,5.230769230769231,0.12233549582947223,0.0698261416030887,False,,,,0.0698261416030887
edge__benign_assessed__direct_help,0.6144578313253012,0.6923076923076923,0.0778498609823911,0.05502267345158414,True,0.15,0.1111111111111111,0.03888888888888889,0.05502267345158414
edge__risky_assessed__high_level_explanation,0.8795180722891566,0.8461538461538461,-0.033364226135310426,-0.03451926280835853,True,0.13095238095238096,0.16666666666666666,-0.0357142857142857,0.03451926280835853
outdeg_benign,2.8795180722891565,2.8461538461538463,-0.033364226135310204,-0.01083880387729801,False,,,,0.01083880387729801
edge__risky_assessed__risky_detail,1.0,1.0,0.0,0.0,True,0.13541666666666666,,,0.0
edge__risky_assessed__safe_alternative,1.0,1.0,0.0,0.0,True,0.13541666666666666,,,0.0
edge__boundary_assessed__safe_alternative,1.0,1.0,0.0,0.0,True,0.13541666666666666,,,0.0
edge__boundary_assessed__refuse,1.0,1.0,0.0,0.0,True,0.13541666666666666,,,0.0
edge__boundary_assessed__boundary_reply,1.0,1.0,0.0,0.0,True,0.13541666666666666,,,0.0
edge__boundary_assessed__risky_detail,1.0,1.0,0.0,0.0,True,0.13541666666666666,,,0.0
edge__ambiguous_assessed__direct_help,1.0,1.0,0.0,0.0,True,0.13541666666666666,,,0.0
edge__ambiguous_assessed__high_level_explanation,1.0,1.0,0.0,0.0,True,0.13541666666666666,,,0.0
edge__ambiguous_assessed__safe_alternative,1.0,1.0,0.0,0.0,True,0.13541666666666666,,,0.0
edge__benign_assessed__high_level_explanation,1.0,1.0,0.0,0.0,True,0.13541666666666666,,,0.0
