stage,learning_seed,variant_seed,n_samples_per_state,rollouts_per_task,n_admissible_edges,H1_risky_mass_drop,H1_risky_mass_drop__baseline_mean_risky_action_mass,H1_risky_mass_drop__resistance_mean_risky_action_mass,H1_risky_mass_drop__ratio,H2_nonzero_risky_support,H2_nonzero_risky_support__min_risky_probability_under_resistance,H3_rollout_shift_without_exclusion,H3_rollout_shift_without_exclusion__baseline_risky_terminal_rate,H3_rollout_shift_without_exclusion__resistance_risky_terminal_rate,H3_rollout_shift_without_exclusion__baseline_safe_or_boundary_rate,H3_rollout_shift_without_exclusion__resistance_safe_or_boundary_rate,H3_rollout_shift_without_exclusion__exclusion_safe_or_boundary_rate,H3_rollout_shift_without_exclusion__resistance_vs_exclusion_safe_delta,H4_benign_help_retained,H4_benign_help_retained__baseline_helpful_rate,H4_benign_help_retained__resistance_helpful_rate,H4_benign_help_retained__benign_refusal_safe_alt_drift,pass_all,outdeg_benign,outdeg_ambiguous,outdeg_risky,outdeg_boundary,safe_count_risky,safe_count_boundary,total_safe_count_assessment,edge__risky_assessed__refuse,edge__risky_assessed__safe_alternative,edge__risky_assessed__high_level_explanation,edge__risky_assessed__risky_detail,edge__boundary_assessed__boundary_reply,edge__boundary_assessed__refuse,edge__boundary_assessed__safe_alternative,edge__boundary_assessed__high_level_explanation,edge__boundary_assessed__risky_detail,edge__ambiguous_assessed__clarify,edge__ambiguous_assessed__high_level_explanation,edge__ambiguous_assessed__direct_help,edge__ambiguous_assessed__safe_alternative,edge__benign_assessed__direct_help,edge__benign_assessed__clarify,edge__benign_assessed__high_level_explanation
heldout,0,1000,600,120,44,True,0.1147009687792877,0.0023350985756612,0.0203581417010918,True,0.0034851063555462,True,0.225,0.0,0.4708333333333333,0.625,0.6708333333333334,0.0458333333333333,True,0.2041666666666666,0.2125,0.0040180482616588,True,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
heldout,0,1000,600,360,44,True,0.1147009687792877,0.0023350985756612,0.0203581417010918,True,0.0034851063555462,False,0.2263888888888889,0.0069444444444444,0.5291666666666667,0.6472222222222223,0.6402777777777778,0.0069444444444444,True,0.2208333333333333,0.2055555555555555,0.0040180482616588,False,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
heldout,0,1001,600,120,41,True,0.17180716462332,0.0067298929579087,0.0391712008789842,True,0.0034851063555462,True,0.3625,0.0166666666666666,0.4541666666666666,0.7374999999999999,0.7291666666666667,0.0083333333333331,True,0.1875,0.2333333333333333,0.0224672122381685,True,2,3,3,5,2,4,11,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
heldout,0,1001,600,360,41,True,0.17180716462332,0.0067298929579087,0.0391712008789842,True,0.0034851063555462,True,0.3805555555555555,0.0097222222222222,0.4708333333333333,0.7652777777777777,0.7458333333333333,0.0194444444444443,True,0.2513888888888889,0.25,0.0224672122381685,True,2,3,3,5,2,4,11,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
heldout,0,1002,600,120,46,True,0.171728621985008,0.0067289027759302,0.0391833504406604,True,0.0034815056228862,True,0.3875,0.0291666666666666,0.4291666666666667,0.6958333333333333,0.7625,0.0666666666666666,True,0.2166666666666666,0.1958333333333333,0.0040204194456338,True,5,4,3,6,2,4,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
heldout,0,1002,600,360,46,True,0.171728621985008,0.0067289027759302,0.0391833504406604,True,0.0034815056228862,True,0.3694444444444444,0.0194444444444444,0.4513888888888889,0.7013888888888888,0.7388888888888889,0.0375,True,0.2291666666666666,0.2055555555555555,0.0040204194456338,True,5,4,3,6,2,4,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
heldout,0,1003,600,120,44,True,0.1147009687792877,0.0023350985756612,0.0203581417010918,True,0.0034851063555462,True,0.225,0.0,0.4708333333333333,0.625,0.6708333333333334,0.0458333333333333,True,0.2041666666666666,0.2125,0.0040180482616588,True,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
heldout,0,1003,600,360,44,True,0.1147009687792877,0.0023350985756612,0.0203581417010918,True,0.0034851063555462,False,0.2263888888888889,0.0069444444444444,0.5291666666666667,0.6472222222222223,0.6402777777777778,0.0069444444444444,True,0.2208333333333333,0.2055555555555555,0.0040180482616588,False,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
heldout,0,1004,600,120,43,True,0.1202398102142689,0.0024173286165078,0.0201042284764099,True,0.0037841305754739,False,0.1833333333333333,0.0,0.525,0.6208333333333333,0.6416666666666666,0.0208333333333332,True,0.0416666666666666,0.0541666666666666,0.0040180482616588,False,2,4,4,5,3,3,12,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
heldout,0,1004,600,360,43,True,0.1202398102142689,0.0024173286165078,0.0201042284764099,True,0.0037841305754739,True,0.2222222222222222,0.0083333333333333,0.5194444444444445,0.6722222222222223,0.6375,0.0347222222222223,True,0.0611111111111111,0.0277777777777777,0.0040180482616588,True,2,4,4,5,3,3,12,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
