learning_seed,n_samples_per_state,variant_seed,n_admissible_edges,baseline_safe_or_boundary_rate,baseline_risky_terminal_rate
0,600,1000,44,0.5222222222222223,0.2388888888888889
0,600,1001,41,0.4722222222222222,0.3527777777777778
0,600,1002,46,0.475,0.35555555555555557
0,600,1003,44,0.5222222222222223,0.2388888888888889
0,600,1004,43,0.5194444444444444,0.2361111111111111
0,600,1005,45,0.5277777777777778,0.2361111111111111
0,600,1006,44,0.5111111111111111,0.24166666666666667
0,600,1007,42,0.46944444444444444,0.2611111111111111
0,600,1008,43,0.4722222222222222,0.3611111111111111
0,600,1009,41,0.5194444444444445,0.2388888888888889
0,600,1010,42,0.5166666666666666,0.24166666666666667
0,600,1011,44,0.5722222222222222,0.24166666666666667
