learning_seed,n_samples_per_state,variant_seed,n_admissible_edges,baseline_safe_or_boundary_rate,baseline_risky_terminal_rate
1,600,1000,44,0.6166666666666667,0.05555555555555555
1,600,1001,41,0.6472222222222223,0.04722222222222222
1,600,1002,46,0.6194444444444445,0.06111111111111111
1,600,1003,44,0.6166666666666667,0.05555555555555555
1,600,1004,43,0.6138888888888889,0.07222222222222222
1,600,1005,45,0.6361111111111111,0.058333333333333334
1,600,1006,44,0.5888888888888889,0.08055555555555556
1,600,1007,42,0.46388888888888885,0.06944444444444445
1,600,1008,43,0.6194444444444445,0.06111111111111111
1,600,1009,41,0.6916666666666667,0.075
1,600,1010,42,0.6833333333333333,0.075
1,600,1011,44,0.7222222222222223,0.06388888888888888
