learning_seed,n_samples_per_state,variant_seed,n_admissible_edges,baseline_safe_or_boundary_rate,baseline_risky_terminal_rate,outdeg_benign,outdeg_ambiguous,outdeg_risky,outdeg_boundary,safe_count_risky,safe_count_boundary,total_safe_count_assessment,edge__risky_assessed__refuse,edge__risky_assessed__safe_alternative,edge__risky_assessed__high_level_explanation,edge__risky_assessed__risky_detail,edge__boundary_assessed__boundary_reply,edge__boundary_assessed__refuse,edge__boundary_assessed__safe_alternative,edge__boundary_assessed__high_level_explanation,edge__boundary_assessed__risky_detail,edge__ambiguous_assessed__clarify,edge__ambiguous_assessed__high_level_explanation,edge__ambiguous_assessed__direct_help,edge__ambiguous_assessed__safe_alternative,edge__benign_assessed__direct_help,edge__benign_assessed__clarify,edge__benign_assessed__high_level_explanation
0,600,1000,44,0.5222222222222223,0.2388888888888889,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,600,1001,41,0.4722222222222222,0.3527777777777778,2,3,3,5,2,4,11,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
0,600,1002,46,0.475,0.35555555555555557,5,4,3,6,2,4,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,600,1003,44,0.5222222222222223,0.2388888888888889,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,600,1004,43,0.5194444444444444,0.2361111111111111,2,4,4,5,3,3,12,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
0,600,1005,45,0.5277777777777778,0.2361111111111111,2,4,5,6,3,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,600,1006,44,0.5111111111111111,0.24166666666666667,4,4,4,4,3,3,13,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,600,1007,42,0.46944444444444444,0.2611111111111111,2,4,3,5,2,4,12,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
0,600,1008,43,0.4722222222222222,0.3611111111111111,3,4,3,5,2,4,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,600,1009,41,0.5194444444444445,0.2388888888888889,1,5,3,4,2,3,10,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0
0,600,1010,42,0.5166666666666666,0.24166666666666667,2,4,4,4,2,3,11,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
0,600,1011,44,0.5722222222222222,0.24166666666666667,4,3,4,5,3,4,12,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
0,1200,1000,44,0.5083333333333333,0.24166666666666667,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1200,1001,41,0.4722222222222222,0.36666666666666664,2,3,3,5,2,4,11,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
0,1200,1002,46,0.43333333333333335,0.4,5,4,3,6,2,4,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1200,1003,44,0.5083333333333333,0.24166666666666667,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1200,1004,43,0.5111111111111111,0.25,2,4,4,5,3,3,12,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
0,1200,1005,45,0.525,0.2361111111111111,2,4,5,6,3,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1200,1006,44,0.49722222222222223,0.25,4,4,4,4,3,3,13,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1200,1007,42,0.4611111111111111,0.2833333333333333,2,4,3,5,2,4,12,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1200,1008,43,0.43333333333333335,0.4027777777777778,3,4,3,5,2,4,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1200,1009,41,0.5333333333333333,0.25,1,5,3,4,2,3,10,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0
0,1200,1010,42,0.5194444444444444,0.24722222222222223,2,4,4,4,2,3,11,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
0,1200,1011,44,0.5583333333333333,0.24722222222222223,4,3,4,5,3,4,12,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
1,600,1000,44,0.6166666666666667,0.05555555555555555,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,600,1001,41,0.6472222222222223,0.04722222222222222,2,3,3,5,2,4,11,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
1,600,1002,46,0.6194444444444445,0.06111111111111111,5,4,3,6,2,4,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,600,1003,44,0.6166666666666667,0.05555555555555555,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,600,1004,43,0.6138888888888889,0.07222222222222222,2,4,4,5,3,3,12,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
1,600,1005,45,0.6361111111111111,0.058333333333333334,2,4,5,6,3,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,600,1006,44,0.5888888888888889,0.08055555555555556,4,4,4,4,3,3,13,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,600,1007,42,0.46388888888888885,0.06944444444444445,2,4,3,5,2,4,12,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
1,600,1008,43,0.6194444444444445,0.06111111111111111,3,4,3,5,2,4,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,600,1009,41,0.6916666666666667,0.075,1,5,3,4,2,3,10,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0
1,600,1010,42,0.6833333333333333,0.075,2,4,4,4,2,3,11,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
1,600,1011,44,0.7222222222222223,0.06388888888888888,4,3,4,5,3,4,12,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
1,1200,1000,44,0.5972222222222222,0.05277777777777778,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1200,1001,41,0.6333333333333333,0.041666666666666664,2,3,3,5,2,4,11,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
1,1200,1002,46,0.611111111111111,0.05555555555555555,5,4,3,6,2,4,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1200,1003,44,0.5972222222222222,0.05277777777777778,3,4,4,5,3,4,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1200,1004,43,0.5694444444444444,0.075,2,4,4,5,3,3,12,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
1,1200,1005,45,0.6027777777777777,0.06944444444444445,2,4,5,6,3,4,13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1200,1006,44,0.5555555555555556,0.08055555555555556,4,4,4,4,3,3,13,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1200,1007,42,0.4111111111111111,0.08888888888888889,2,4,3,5,2,4,12,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1200,1008,43,0.611111111111111,0.05555555555555555,3,4,3,5,2,4,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1200,1009,41,0.7111111111111111,0.07777777777777778,1,5,3,4,2,3,10,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0
1,1200,1010,42,0.6777777777777778,0.08611111111111111,2,4,4,4,2,3,11,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
1,1200,1011,44,0.7111111111111111,0.06111111111111111,4,3,4,5,3,4,12,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
