feature,pair_id,learning_seed,n_samples_per_state,variant_present,variant_absent,baseline_safe_present,baseline_safe_absent,baseline_safe_gap,present_H3,absent_H3,present_pass_all,absent_pass_all,present_safe_gain,absent_safe_gain,present_risky_terminal,absent_risky_terminal
edge__risky_assessed__refuse,1,0,600,1007,1001,0.46944444444444444,0.4722222222222222,0.002777777777777768,True,True,True,True,0.16666666666666663,0.2944444444444444,0.009722222222222222,0.009722222222222222
edge__ambiguous_assessed__clarify,1,0,600,1008,1001,0.4722222222222222,0.4722222222222222,0.0,True,True,True,True,0.25972222222222213,0.2944444444444444,0.019444444444444445,0.009722222222222222
edge__benign_assessed__clarify,1,0,600,1008,1001,0.4722222222222222,0.4722222222222222,0.0,True,True,True,True,0.25972222222222213,0.2944444444444444,0.019444444444444445,0.009722222222222222
edge__boundary_assessed__high_level_explanation,1,0,600,1009,1004,0.5194444444444445,0.5194444444444444,1.1102230246251565e-16,False,True,False,True,0.1152777777777777,0.1527777777777778,0.005555555555555556,0.008333333333333333
edge__boundary_assessed__high_level_explanation,2,0,600,1000,1010,0.5222222222222223,0.5166666666666666,0.005555555555555647,False,False,False,False,0.11805555555555558,0.13611111111111118,0.006944444444444444,0.011111111111111112
edge__boundary_assessed__high_level_explanation,3,0,600,1003,1006,0.5222222222222223,0.5111111111111111,0.011111111111111183,False,False,False,False,0.11805555555555558,0.10277777777777775,0.006944444444444444,0.006944444444444444
edge__risky_assessed__refuse,1,0,1200,1007,1001,0.4611111111111111,0.4722222222222222,0.011111111111111127,True,True,True,True,0.17222222222222217,0.25277777777777777,0.008333333333333333,0.018055555555555554
edge__ambiguous_assessed__clarify,1,0,1200,1007,1001,0.4611111111111111,0.4722222222222222,0.011111111111111127,True,True,True,True,0.17222222222222217,0.25277777777777777,0.008333333333333333,0.018055555555555554
edge__benign_assessed__clarify,1,0,1200,1007,1001,0.4611111111111111,0.4722222222222222,0.011111111111111127,True,True,True,True,0.17222222222222217,0.25277777777777777,0.008333333333333333,0.018055555555555554
edge__boundary_assessed__high_level_explanation,1,0,1200,1000,1004,0.5083333333333333,0.5111111111111111,0.002777777777777768,False,True,False,True,0.1347222222222223,0.15694444444444444,0.001388888888888889,0.005555555555555556
edge__boundary_assessed__high_level_explanation,2,0,1200,1005,1010,0.525,0.5194444444444444,0.005555555555555647,False,False,False,False,0.13194444444444442,0.14583333333333326,0.004166666666666667,0.006944444444444444
edge__boundary_assessed__high_level_explanation,3,0,1200,1003,1006,0.5083333333333333,0.49722222222222223,0.011111111111111072,False,False,False,False,0.1347222222222223,0.1499999999999999,0.001388888888888889,0.002777777777777778
edge__risky_assessed__refuse,1,1,600,1000,1002,0.6166666666666667,0.6194444444444445,0.002777777777777768,False,False,False,False,0.05277777777777781,0.01666666666666672,0.0,0.0
edge__risky_assessed__refuse,2,1,600,1003,1008,0.6166666666666667,0.6194444444444445,0.002777777777777768,False,False,False,False,0.05277777777777781,0.009722222222222299,0.0,0.0
edge__risky_assessed__refuse,3,1,600,1005,1001,0.6361111111111111,0.6472222222222223,0.011111111111111183,False,False,False,False,0.043055555555555514,0.054166666666666696,0.001388888888888889,0.004166666666666667
edge__ambiguous_assessed__clarify,1,1,600,1005,1001,0.6361111111111111,0.6472222222222223,0.011111111111111183,False,False,False,False,0.043055555555555514,0.054166666666666696,0.001388888888888889,0.004166666666666667
edge__benign_assessed__clarify,1,1,600,1005,1001,0.6361111111111111,0.6472222222222223,0.011111111111111183,False,False,False,False,0.043055555555555514,0.054166666666666696,0.001388888888888889,0.004166666666666667
edge__boundary_assessed__high_level_explanation,1,1,600,1000,1004,0.6166666666666667,0.6138888888888889,0.002777777777777768,False,False,False,False,0.05277777777777781,0.05138888888888882,0.0,0.001388888888888889
edge__boundary_assessed__high_level_explanation,2,1,600,1009,1010,0.6916666666666667,0.6833333333333333,0.008333333333333304,False,False,False,False,0.09444444444444444,0.06388888888888888,0.001388888888888889,0.0
edge__risky_assessed__refuse,1,1,1200,1005,1008,0.6027777777777777,0.611111111111111,0.008333333333333304,False,False,False,False,0.02083333333333337,0.047222222222222276,0.001388888888888889,0.001388888888888889
edge__risky_assessed__refuse,2,1,1200,1000,1002,0.5972222222222222,0.611111111111111,0.01388888888888884,False,False,False,False,0.06666666666666676,0.04861111111111116,0.002777777777777778,0.001388888888888889
edge__ambiguous_assessed__clarify,1,1,1200,1009,1011,0.7111111111111111,0.7111111111111111,0.0,False,False,False,False,0.08194444444444449,0.0277777777777779,0.001388888888888889,0.001388888888888889
