variant_present,variant_absent,baseline_safe_present,baseline_safe_absent,baseline_safe_gap,feature,learning_seed,n_samples_per_state
1007.0,1001.0,0.46944444444444444,0.4722222222222222,0.002777777777777768,edge__risky_assessed__refuse,0,600
1008.0,1001.0,0.4722222222222222,0.4722222222222222,0.0,edge__ambiguous_assessed__clarify,0,600
1008.0,1001.0,0.4722222222222222,0.4722222222222222,0.0,edge__benign_assessed__clarify,0,600
1009.0,1004.0,0.5194444444444445,0.5194444444444444,1.1102230246251565e-16,edge__boundary_assessed__high_level_explanation,0,600
1000.0,1010.0,0.5222222222222223,0.5166666666666666,0.005555555555555647,edge__boundary_assessed__high_level_explanation,0,600
1003.0,1006.0,0.5222222222222223,0.5111111111111111,0.011111111111111183,edge__boundary_assessed__high_level_explanation,0,600
1007.0,1001.0,0.4611111111111111,0.4722222222222222,0.011111111111111127,edge__risky_assessed__refuse,0,1200
1007.0,1001.0,0.4611111111111111,0.4722222222222222,0.011111111111111127,edge__ambiguous_assessed__clarify,0,1200
1007.0,1001.0,0.4611111111111111,0.4722222222222222,0.011111111111111127,edge__benign_assessed__clarify,0,1200
1000.0,1004.0,0.5083333333333333,0.5111111111111111,0.002777777777777768,edge__boundary_assessed__high_level_explanation,0,1200
1005.0,1010.0,0.525,0.5194444444444444,0.005555555555555647,edge__boundary_assessed__high_level_explanation,0,1200
1003.0,1006.0,0.5083333333333333,0.49722222222222223,0.011111111111111072,edge__boundary_assessed__high_level_explanation,0,1200
1000.0,1002.0,0.6166666666666667,0.6194444444444445,0.002777777777777768,edge__risky_assessed__refuse,1,600
1003.0,1008.0,0.6166666666666667,0.6194444444444445,0.002777777777777768,edge__risky_assessed__refuse,1,600
1005.0,1001.0,0.6361111111111111,0.6472222222222223,0.011111111111111183,edge__risky_assessed__refuse,1,600
1005.0,1001.0,0.6361111111111111,0.6472222222222223,0.011111111111111183,edge__ambiguous_assessed__clarify,1,600
1005.0,1001.0,0.6361111111111111,0.6472222222222223,0.011111111111111183,edge__benign_assessed__clarify,1,600
1000.0,1004.0,0.6166666666666667,0.6138888888888889,0.002777777777777768,edge__boundary_assessed__high_level_explanation,1,600
1009.0,1010.0,0.6916666666666667,0.6833333333333333,0.008333333333333304,edge__boundary_assessed__high_level_explanation,1,600
1005.0,1008.0,0.6027777777777777,0.611111111111111,0.008333333333333304,edge__risky_assessed__refuse,1,1200
1000.0,1002.0,0.5972222222222222,0.611111111111111,0.01388888888888884,edge__risky_assessed__refuse,1,1200
1009.0,1011.0,0.7111111111111111,0.7111111111111111,0.0,edge__ambiguous_assessed__clarify,1,1200
