target_feature,learning_seed,n_samples_per_state,n_pairs,present_H3_rate,absent_H3_rate,present_pass_all_rate,absent_pass_all_rate,mean_baseline_safe_present_minus_absent,mean_safe_gain_present_minus_absent,mean_risky_drop_present_minus_absent,present_minus_absent_H3_rate,present_minus_absent_pass_all_rate
edge__ambiguous_assessed__clarify,0,600,12,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333,-0.019444444444444455,0.005439814814814837,0.000925925925925925,0.08333333333333337,0.08333333333333337
edge__ambiguous_assessed__clarify,0,1200,12,0.5,0.5833333333333334,0.5,0.5833333333333334,-0.022453703703703688,0.00312499999999998,-0.00023148148148148065,-0.08333333333333337,-0.08333333333333337
edge__ambiguous_assessed__clarify,1,600,12,0.0,0.0,0.0,0.0,-0.003009259259259272,-0.01817129629629632,-0.004050925925925927,0.0,0.0
edge__ambiguous_assessed__clarify,1,1200,12,0.0,0.0,0.0,0.0,-0.01087962962962967,0.004861111111111154,0.0018518518518518534,0.0,0.0
edge__ambiguous_assessed__clarify,2,600,12,0.0,0.0,0.0,0.0,-0.018518518518518535,-0.005439814814814782,0.008217592592592596,0.0,0.0
edge__ambiguous_assessed__clarify,2,1200,12,0.0,0.0,0.0,0.0,-0.010416666666666657,-0.012152777777777771,0.012615740740740738,0.0,0.0
edge__benign_assessed__clarify,0,600,12,0.5,0.16666666666666666,0.5,0.16666666666666666,-0.00601851851851852,0.02939814814814816,-0.01168981481481482,0.33333333333333337,0.33333333333333337
edge__benign_assessed__clarify,0,1200,12,0.5,0.16666666666666666,0.5,0.16666666666666666,-0.013425925925925924,0.03425925925925927,-0.008333333333333331,0.33333333333333337,0.33333333333333337
edge__benign_assessed__clarify,1,600,12,0.0,0.0,0.0,0.0,-0.0015046296296296335,-0.00011574074074076346,-0.001388888888888888,0.0,0.0
edge__benign_assessed__clarify,1,1200,12,0.0,0.0,0.0,0.0,-0.0077546296296296295,0.002662037037037051,-0.000694444444444446,0.0,0.0
edge__benign_assessed__clarify,2,600,12,0.0,0.0,0.0,0.0,-0.003935185185185199,0.0021990740740740707,0.004745370370370369,0.0,0.0
edge__benign_assessed__clarify,2,1200,12,0.0,0.0,0.0,0.0,-0.008333333333333331,0.0037037037037037043,0.004629629629629626,0.0,0.0
edge__boundary_assessed__high_level_explanation,0,600,12,0.5,0.5833333333333334,0.5,0.5833333333333334,0.00659722222222224,-0.0031250000000000028,-0.007986111111111104,-0.08333333333333337,-0.08333333333333337
edge__boundary_assessed__high_level_explanation,0,1200,12,0.5,0.75,0.5,0.75,0.012962962962962949,-0.014236111111111093,-0.012962962962962956,-0.25,-0.25
edge__boundary_assessed__high_level_explanation,1,600,12,0.0,0.0,0.0,0.0,0.018287037037037022,-0.007870370370370347,-0.016319444444444445,0.0,0.0
edge__boundary_assessed__high_level_explanation,1,1200,12,0.0,0.0,0.0,0.0,0.019560185185185177,-0.006018518518518502,-0.01585648148148148,0.0,0.0
edge__boundary_assessed__high_level_explanation,2,600,12,0.0,0.0,0.0,0.0,-0.00023148148148148065,0.000347222222222221,1.1564823173178713e-18,0.0,0.0
edge__boundary_assessed__high_level_explanation,2,1200,12,0.0,0.0,0.0,0.0,0.00023148148148148065,0.000347222222222221,-0.0003472222222222221,0.0,0.0
edge__risky_assessed__refuse,0,600,12,0.4166666666666667,1.0,0.4166666666666667,1.0,0.08437499999999999,-0.10497685185185184,-0.14988425925925924,-0.5833333333333333,-0.5833333333333333
edge__risky_assessed__refuse,0,1200,12,0.3333333333333333,1.0,0.3333333333333333,1.0,0.07673611111111112,-0.09618055555555555,-0.1577546296296296,-0.6666666666666667,-0.6666666666666667
edge__risky_assessed__refuse,1,600,12,0.0,0.0,0.0,0.0,-0.02604166666666666,0.006944444444444424,-0.0004629629629629625,0.0,0.0
edge__risky_assessed__refuse,1,1200,12,0.0,0.0,0.0,0.0,-0.016319444444444466,-0.006134259259259256,-0.004976851851851852,0.0,0.0
edge__risky_assessed__refuse,2,600,12,0.0,0.0,0.0,0.0,0.04374999999999999,0.01342592592592592,-0.03819444444444444,0.0,0.0
edge__risky_assessed__refuse,2,1200,12,0.0,0.0,0.0,0.0,0.0587962962962963,-0.00277777777777777,-0.048148148148148155,0.0,0.0
