target_feature,learning_seed,n_samples_per_state,n_pairs,present_H3_rate,absent_H3_rate,present_pass_all_rate,absent_pass_all_rate,mean_baseline_safe_present_minus_absent,mean_safe_gain_present_minus_absent,mean_risky_drop_present_minus_absent,present_minus_absent_H3_rate,present_minus_absent_pass_all_rate
edge__benign_assessed__clarify,0,600,16,0.375,0.125,0.375,0.125,-0.004513888888888897,0.0271701388888889,-0.01137152777777779,0.25,0.25
edge__benign_assessed__clarify,0,1200,16,0.5,0.125,0.5,0.125,-0.013368055555555557,0.030902777777777793,-0.008854166666666666,0.375,0.375
edge__benign_assessed__clarify,0,2400,16,0.375,0.125,0.375,0.125,-0.00859374999999999,0.02534722222222223,-0.008854166666666677,0.25,0.25
edge__benign_assessed__clarify,1,600,16,0.0,0.0,0.0,0.0,-0.0012152777777777804,0.0026041666666666505,-0.0009548611111111108,0.0,0.0
edge__benign_assessed__clarify,1,1200,16,0.0,0.0,0.0,0.0,-0.005381944444444453,0.001128472222222246,-0.0005208333333333345,0.0,0.0
edge__benign_assessed__clarify,1,2400,16,0.0,0.0,0.0,0.0,-0.017708333333333333,0.018055555555555564,0.001736111111111114,0.0,0.0
edge__benign_assessed__clarify,2,600,16,0.0,0.0,0.0,0.0,-0.0052083333333333495,0.003038194444444451,0.004861111111111109,0.0,0.0
edge__benign_assessed__clarify,2,1200,16,0.0,0.0,0.0,0.0,-0.009548611111111112,0.006076388888888888,0.004340277777777773,0.0,0.0
edge__benign_assessed__clarify,2,2400,16,0.0,0.0,0.0,0.0,-0.009548611111111108,0.0029513888888888784,0.0044270833333333315,0.0,0.0
edge__benign_assessed__clarify,3,600,16,0.0,0.0,0.0,0.0,-0.006857638888888871,0.004166666666666635,-0.00043402777777777797,0.0,0.0
edge__benign_assessed__clarify,3,1200,16,0.0,0.0,0.0,0.0,-0.009635416666666678,0.004166666666666688,0.0029513888888888853,0.0,0.0
edge__benign_assessed__clarify,3,2400,16,0.0,0.0,0.0,0.0,-0.00286458333333333,-0.004947916666666679,0.005034722222222221,0.0,0.0
edge__benign_assessed__clarify,4,600,16,1.0,1.0,1.0,1.0,0.018142361111111123,-0.038194444444444454,0.012499999999999994,0.0,0.0
edge__benign_assessed__clarify,4,1200,16,1.0,1.0,1.0,1.0,0.005555555555555553,-0.009548611111111103,0.020746527777777773,0.0,0.0
edge__benign_assessed__clarify,4,2400,16,1.0,1.0,1.0,1.0,0.007986111111111102,-0.022569444444444448,0.01987847222222221,0.0,0.0
edge__benign_assessed__clarify,5,600,16,0.1875,0.3125,0.1875,0.3125,0.005555555555555567,-0.00781250000000001,-0.005208333333333325,-0.125,-0.125
edge__benign_assessed__clarify,5,1200,16,0.25,0.375,0.25,0.375,0.007378472222222224,-0.0074652777777778,-0.007031250000000006,-0.125,-0.125
edge__benign_assessed__clarify,5,2400,16,0.1875,0.25,0.1875,0.25,0.009982638888888881,-0.0118923611111111,-0.008680555555555539,-0.0625,-0.0625
edge__benign_assessed__clarify,6,600,16,0.0625,0.0625,0.0,0.0,-0.009027777777777794,0.0016493055555555879,0.002083333333333332,0.0,0.0
edge__benign_assessed__clarify,6,1200,16,0.0,0.0625,0.0,0.0625,-0.00842013888888888,-0.0032986111111111376,0.000347222222222221,-0.0625,-0.0625
edge__benign_assessed__clarify,6,2400,16,0.0,0.0,0.0,0.0,-0.01979166666666668,0.007899305555555586,0.003038194444444446,0.0,0.0
edge__benign_assessed__clarify,7,600,16,1.0,1.0,1.0,1.0,-0.03020833333333334,0.038368055555555586,0.015538194444444453,0.0,0.0
edge__benign_assessed__clarify,7,1200,16,1.0,0.9375,1.0,0.9375,-0.020399305555555542,0.011371527777777772,0.011805555555555564,0.0625,0.0625
edge__benign_assessed__clarify,7,2400,16,1.0,1.0,1.0,1.0,-0.015017361111111103,0.013975694444444426,0.014583333333333337,0.0,0.0
edge__risky_assessed__refuse,0,600,16,0.3125,1.0,0.3125,1.0,0.08619791666666665,-0.10694444444444443,-0.15043402777777778,-0.6875,-0.6875
edge__risky_assessed__refuse,0,1200,16,0.375,1.0,0.375,1.0,0.0748263888888889,-0.09331597222222221,-0.15512152777777777,-0.625,-0.625
edge__risky_assessed__refuse,0,2400,16,0.3125,1.0,0.3125,1.0,0.08697916666666666,-0.10633680555555554,-0.16163194444444445,-0.6875,-0.6875
edge__risky_assessed__refuse,1,600,16,0.0,0.0,0.0,0.0,-0.0275173611111111,0.01267361111111109,0.000694444444444445,0.0,0.0
edge__risky_assessed__refuse,1,1200,16,0.0,0.0,0.0,0.0,-0.015451388888888914,-0.0013888888888888805,-0.0046006944444444454,0.0,0.0
edge__risky_assessed__refuse,1,2400,16,0.0,0.0,0.0,0.0,-0.014322916666666696,0.002170138888888895,-0.001996527777777776,0.0,0.0
edge__risky_assessed__refuse,2,600,16,0.0,0.0,0.0,0.0,0.04027777777777777,0.013541666666666667,-0.036284722222222225,0.0,0.0
edge__risky_assessed__refuse,2,1200,16,0.0,0.0,0.0,0.0,0.05859375,-0.005295138888888879,-0.04774305555555556,0.0,0.0
edge__risky_assessed__refuse,2,2400,16,0.0,0.0,0.0,0.0,0.05217013888888889,-0.012934027777777775,-0.0546875,0.0,0.0
edge__risky_assessed__refuse,3,600,16,0.0,0.0,0.0,0.0,0.19626736111111112,0.03862847222222221,-0.15503472222222223,0.0,0.0
edge__risky_assessed__refuse,3,1200,16,0.0,0.0,0.0,0.0,0.18055555555555555,0.04236111111111112,-0.1734375,0.0,0.0
edge__risky_assessed__refuse,3,2400,16,0.0,0.0,0.0,0.0,0.18836805555555555,0.04991319444444444,-0.16006944444444443,0.0,0.0
edge__risky_assessed__refuse,4,600,16,1.0,1.0,1.0,1.0,0.004687500000000002,-0.023003472222222217,-0.003559027777777786,0.0,0.0
edge__risky_assessed__refuse,4,1200,16,1.0,1.0,1.0,1.0,0.00607638888888889,-0.023871527777777776,-0.0029513888888888958,0.0,0.0
edge__risky_assessed__refuse,4,2400,16,1.0,1.0,1.0,1.0,0.005555555555555553,-0.037934027777777775,-0.002864583333333323,0.0,0.0
edge__risky_assessed__refuse,5,600,16,0.25,1.0,0.25,1.0,0.058072916666666675,-0.12361111111111112,-0.12743055555555555,-0.75,-0.75
edge__risky_assessed__refuse,5,1200,16,0.25,1.0,0.25,1.0,0.07092013888888889,-0.13689236111111108,-0.1323784722222222,-0.75,-0.75
edge__risky_assessed__refuse,5,2400,16,0.125,1.0,0.125,1.0,0.0671875,-0.12682291666666667,-0.1339409722222222,-0.875,-0.875
edge__risky_assessed__refuse,6,600,16,0.0625,0.125,0.0,0.0,0.02690972222222218,-0.01701388888888884,-0.012760416666666666,-0.0625,0.0
edge__risky_assessed__refuse,6,1200,16,0.0,0.0,0.0,0.0,0.021180555555555574,-0.015364583333333352,-0.011024305555555556,0.0,0.0
edge__risky_assessed__refuse,6,2400,16,0.0,0.0625,0.0,0.0,0.014149305555555533,-0.008246527777777745,-0.013628472222222222,-0.0625,0.0
edge__risky_assessed__refuse,7,600,16,1.0,1.0,1.0,0.9375,0.06432291666666667,0.04574652777777777,-0.06050347222222222,0.0,0.0625
edge__risky_assessed__refuse,7,1200,16,1.0,0.9375,1.0,0.9375,0.08064236111111112,0.04626736111111111,-0.044878472222222215,0.0625,0.0625
edge__risky_assessed__refuse,7,2400,16,1.0,0.9375,1.0,0.9375,0.08940972222222224,0.029600694444444436,-0.06501736111111109,0.0625,0.0625
