target_feature,learning_seed,n_samples_per_state,n_pairs,cell_state,present_H3_rate,absent_H3_rate,present_minus_absent_H3_rate,disagreement_h3_rate,present_only_h3_rate,absent_only_h3_rate,both_pass_h3_rate,both_fail_h3_rate,mean_baseline_safe_midpoint,mean_safe_gain_midpoint,mean_risky_drop_midpoint,mean_abs_baseline_safe_gap,mean_abs_safe_gain_gap,mean_abs_risky_drop_gap,disagreement_mean_baseline_safe_midpoint,tied_mean_baseline_safe_midpoint,disagreement_mean_abs_safe_gain_gap,tied_mean_abs_safe_gain_gap
edge__benign_assessed__clarify,0,600,16,edge_sensitive,0.375,0.125,0.25,0.25,0.25,0.0,0.125,0.625,0.5004340277777778,0.13710937499999995,0.24743923611111107,0.007638888888888907,0.02838541666666668,0.01258680555555557,0.4946180555555555,0.5023726851851852,0.04618055555555561,0.022453703703703698
edge__benign_assessed__clarify,0,1200,16,edge_sensitive,0.5,0.125,0.375,0.375,0.375,0.0,0.125,0.5,0.4987847222222222,0.14244791666666662,0.24730902777777775,0.013541666666666646,0.030902777777777814,0.011111111111111124,0.4673611111111111,0.5176388888888889,0.024537037037037034,0.03472222222222228
edge__benign_assessed__clarify,0,2400,16,edge_sensitive,0.375,0.125,0.25,0.25,0.25,0.0,0.125,0.625,0.49526909722222223,0.14001736111111107,0.24626736111111108,0.01206597222222221,0.027256944444444438,0.01267361111111114,0.49322916666666666,0.4959490740740741,0.040624999999999946,0.022800925925925936
edge__benign_assessed__clarify,1,600,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5674479166666666,0.05104166666666662,0.07712673611111107,0.009201388888888898,0.011631944444444448,0.008246527777777773,,0.5674479166666666,,0.011631944444444448
edge__benign_assessed__clarify,1,1200,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5583333333333333,0.049348958333333304,0.07812499999999994,0.011111111111111127,0.016232638888888876,0.00902777777777778,,0.5583333333333333,,0.016232638888888876
edge__benign_assessed__clarify,1,2400,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.56484375,0.05034722222222218,0.07907986111111107,0.02170138888888888,0.02135416666666668,0.006597222222222226,,0.56484375,,0.02135416666666668
edge__benign_assessed__clarify,2,600,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38932291666666663,0.06809895833333329,0.10937499999999994,0.007118055555555582,0.007899305555555543,0.005902777777777764,,0.38932291666666663,,0.007899305555555543
edge__benign_assessed__clarify,2,1200,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38359374999999996,0.07890624999999996,0.12187499999999994,0.009722222222222215,0.01371527777777776,0.005902777777777813,,0.38359374999999996,,0.01371527777777776
edge__benign_assessed__clarify,2,2400,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38255208333333335,0.0862847222222222,0.12617187499999993,0.010590277777777789,0.007118055555555551,0.005468750000000005,,0.38255208333333335,,0.007118055555555551
edge__benign_assessed__clarify,3,600,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25828993055555555,0.023871527777777728,0.09344618055555552,0.007899305555555527,0.009374999999999956,0.00633680555555555,,0.25828993055555555,,0.009374999999999956
edge__benign_assessed__clarify,3,1200,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24492187499999998,0.032204861111111066,0.10338541666666662,0.012065972222222238,0.011284722222222243,0.003993055555555549,,0.24492187499999998,,0.011284722222222243
edge__benign_assessed__clarify,3,2400,16,all_fail_tied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2477864583333333,0.04292534722222219,0.10729166666666662,0.003906250000000002,0.005642361111111143,0.005208333333333333,,0.2477864583333333,,0.005642361111111143
edge__benign_assessed__clarify,4,600,16,all_pass_tied,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16888020833333328,0.2908854166666667,0.37534722222222217,0.018142361111111116,0.038194444444444454,0.01944444444444444,,0.16888020833333328,,0.038194444444444454
edge__benign_assessed__clarify,4,1200,16,all_pass_tied,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17986111111111108,0.2622395833333333,0.36601562499999996,0.01128472222222223,0.01892361111111111,0.02578125,,0.17986111111111108,,0.01892361111111111
edge__benign_assessed__clarify,4,2400,16,all_pass_tied,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1875868055555555,0.2744791666666666,0.36835937499999993,0.011805555555555574,0.022569444444444454,0.02213541666666666,,0.1875868055555555,,0.022569444444444454
edge__benign_assessed__clarify,5,600,16,edge_sensitive,0.1875,0.3125,-0.125,0.125,0.0,0.125,0.1875,0.6875,0.4159722222222222,0.14105902777777776,0.29461805555555554,0.008854166666666649,0.011631944444444443,0.005902777777777764,0.34131944444444445,0.4266369047619048,0.0354166666666667,0.008234126984126977
edge__benign_assessed__clarify,5,1200,16,edge_sensitive,0.25,0.375,-0.125,0.125,0.0,0.125,0.25,0.625,0.41775173611111105,0.14809027777777775,0.2914496527777778,0.009288194444444457,0.010069444444444459,0.007031250000000006,0.36076388888888883,0.425892857142857,0.03611111111111116,0.006349206349206359
edge__benign_assessed__clarify,5,2400,16,edge_sensitive,0.1875,0.25,-0.0625,0.0625,0.0,0.0625,0.1875,0.75,0.4146267361111111,0.1457899305555555,0.28671874999999997,0.01293402777777777,0.015885416666666652,0.009374999999999967,0.3520833333333333,0.4187962962962962,0.018055555555555575,0.015740740740740725
