target_feature,learning_seed,n_samples_per_state,n_replication_templates,original_present_minus_absent_H3_rate,original_sign,replicate_present_H3_rate,replicate_absent_H3_rate,replicate_present_minus_absent_H3_rate,replicate_sign,sign_match,present_only_replication_rate,absent_only_replication_rate,both_pass_replication_rate,both_fail_replication_rate,mean_baseline_safe_present_minus_absent,mean_safe_gain_present_minus_absent,mean_risky_drop_present_minus_absent
edge__benign_assessed__clarify,0,600,32,0.25,1,0.34375,0.1875,0.15625,1,True,0.1875,0.03125,0.15625,0.625,-0.0017795138888889051,0.019704861111111124,-0.01293402777777778
edge__benign_assessed__clarify,0,1200,32,0.375,1,0.46875,0.25,0.21875,1,True,0.25,0.03125,0.21875,0.5,-0.006597222222222232,0.02187499999999999,-0.009809027777777774
edge__benign_assessed__clarify,0,2400,32,0.25,1,0.4375,0.21875,0.21875,1,True,0.21875,0.0,0.21875,0.5625,-0.00620659722222223,0.020746527777777787,-0.010677083333333337
edge__benign_assessed__clarify,5,600,32,-0.125,-1,0.34375,0.3125,0.03125,1,False,0.03125,0.0,0.3125,0.65625,0.002604166666666668,0.002951388888888887,-0.004904513888888885
edge__benign_assessed__clarify,5,1200,32,-0.125,-1,0.375,0.375,0.0,0,False,0.0,0.0,0.375,0.625,0.006076388888888892,0.00034722222222221405,-0.00746527777777777
edge__benign_assessed__clarify,5,2400,32,-0.0625,-1,0.34375,0.28125,0.0625,1,False,0.0625,0.0,0.28125,0.65625,0.0036024305555555566,-0.0030381944444444423,-0.0034722222222222055
edge__benign_assessed__clarify,6,1200,32,-0.0625,-1,0.03125,0.09375,-0.0625,-1,True,0.0,0.0625,0.03125,0.90625,-0.00998263888888889,0.004730902777777792,0.00021701388888888899
edge__benign_assessed__clarify,7,1200,32,0.0625,1,1.0,0.84375,0.15625,1,True,0.15625,0.0,0.84375,0.0,-0.016232638888888883,0.010894097222222215,0.009461805555555553
edge__risky_assessed__refuse,0,600,32,-0.6875,-1,0.21875,1.0,-0.78125,-1,True,0.0,0.78125,0.21875,0.0,0.0787326388888889,-0.12756076388888887,-0.14605034722222224
edge__risky_assessed__refuse,0,1200,32,-0.625,-1,0.28125,1.0,-0.71875,-1,True,0.0,0.71875,0.28125,0.0,0.07330729166666666,-0.11059027777777777,-0.15138888888888888
edge__risky_assessed__refuse,0,2400,32,-0.6875,-1,0.25,1.0,-0.75,-1,True,0.0,0.75,0.25,0.0,0.083984375,-0.12499999999999999,-0.16137152777777777
edge__risky_assessed__refuse,5,600,32,-0.75,-1,0.28125,1.0,-0.71875,-1,True,0.0,0.71875,0.28125,0.0,0.06328125000000001,-0.13702256944444444,-0.1322048611111111
edge__risky_assessed__refuse,5,1200,32,-0.75,-1,0.3125,1.0,-0.6875,-1,True,0.0,0.6875,0.3125,0.0,0.06532118055555555,-0.13819444444444443,-0.12999131944444442
edge__risky_assessed__refuse,5,2400,32,-0.875,-1,0.34375,1.0,-0.65625,-1,True,0.0,0.65625,0.34375,0.0,0.06879340277777778,-0.13819444444444445,-0.13546006944444441
edge__risky_assessed__refuse,6,600,32,-0.0625,-1,0.09375,0.125,-0.03125,-1,True,0.0,0.03125,0.09375,0.875,0.022699652777777763,-0.013064236111111106,-0.012369791666666666
edge__risky_assessed__refuse,6,2400,32,-0.0625,-1,0.0,0.125,-0.125,-1,True,0.0,0.125,0.0,0.875,0.0181423611111111,-0.01289062500000001,-0.013151041666666667
edge__risky_assessed__refuse,7,1200,32,0.0625,1,0.96875,0.9375,0.03125,1,True,0.03125,0.0,0.9375,0.03125,0.08363715277777778,0.05564236111111112,-0.05468749999999999
edge__risky_assessed__refuse,7,2400,32,0.0625,1,1.0,0.9375,0.0625,1,True,0.0625,0.0,0.9375,0.0,0.09175347222222222,0.0421875,-0.06796874999999997
